bn,name,acronyms,created_at,is_latest,alternatives
100044452RR0001,Manitoba Theatre For Young People Inc.,MTYP,2025-09-18 10:47:22,1,
100301290RR0001,Association Des Orchestres De Jeunes De La Monteregie Inc.,AOJM,2025-09-18 10:47:22,1,
100763416RR0001,Canadian Education Association/Association Canadienne D'education,EDCAN,2025-09-18 10:47:22,1,EdCan Network
100773779RR0001,Canadian Water Resources Association (Association Canadienne Des Ressources Hydriques),CWRA,2025-09-18 10:47:22,1,
101161115RR0001,Diffusion Culturelle De Levis,DCL,2025-09-18 10:47:22,1,
100878792RR0001,Centre D'action Bénévole Des Chic-Chocs Inc.,CABCC,2025-09-18 10:47:22,1,
101690436RR0001,Estonian Relief Committee In Canada,ERC,2025-09-18 10:47:22,1,
101835171RR0001,Fondation Hôpital De La Malbaie,FONDATIONCHLAMALBAIE,2025-09-18 10:47:22,1,Fondation Hôpital de La Malbaie
102980851RR0001,La Rubrique Inc.,THEATRELARUBRIQUE,2025-09-18 10:47:22,1,
101835163RR0001,Fondation Pour La Santé Du Nord De Lanaudière,VOTREFONDATION,2025-09-18 10:47:22,1,
104072038RR0001,Centre De La Petite Enfance La Croisée Inc.,CPEQUEBECCENTRE,2025-09-18 10:47:22,1,
104917331RR0001,Opéra Du Royaume,SALR,2025-09-18 10:47:22,1,
105260673RR0001,The Winnipeg Symphony Orchestra Inc.,WSO,2025-09-18 10:47:22,1,
106685613RR0001,Admaston Pastoral Charge,ADMASTONPC,2025-09-18 10:47:22,1,
106693864RR0001,Alberta Museums Association,AMA,2025-09-18 10:47:22,1,
106726920RR0001,Association Canadienne Pour La Sante Mentale/Filiale De Montreal,ACSMMONTREAL,2025-09-18 10:47:22,1,
106736150RR0001,Crandall University Université Crandall,CANDALLU,2025-09-18 10:47:22,1,
106800709RR0001,Boissevain - Morton Library And Archives,BMLIBRARY,2025-09-18 10:47:22,1,
106720485RR0001,North Hastings Community Integration Association,NHCIA,2025-09-18 10:47:22,1,
106735400RR0001,Chap Alliance Inc.,ARTB,2025-09-18 10:47:22,1,CHAP Alliance
